address;postcode;state;country;property_valuation
9816 Carberry Trail;2036;NSW;Australia;11
36912 Gina Pass;2133;NSW;Australia;11
86857 Hoepker Lane;4300;QLD;Australia;8
8435 Arkansas Terrace;2340;NSW;Australia;4
25 Novick Center;2010;NSW;Australia;9
0278 Elka Place;4305;QLD;Australia;4
067 Cottonwood Park;4340;QLD;Australia;2
60010 Knutson Road;3137;Victoria;Australia;7
945 Hayes Park;2075;NSW;Australia;12
86 Huxley Parkway;3068;Victoria;Australia;8
0 Rigney Way;2148;NSW;Australia;8
71 Meadow Ridge Parkway;2539;NSW;Australia;11
506 Iowa Center;4580;QLD;Australia;3
846 Clove Junction;4300;QLD;Australia;5
07 Pepper Wood Way;2750;NSW;Australia;8
425 Thierer Junction;2761;NSW;Australia;8
876 Ridgeview Circle;2566;NSW;Australia;8
00164 Canary Drive;2041;NSW;Australia;11
61 Talmadge Lane;4504;QLD;Australia;6
55 Birchwood Alley;2176;NSW;Australia;9
3785 Dapin Drive;2036;NSW;Australia;6
83 Ryan Hill;4551;QLD;Australia;8
679 Huxley Trail;2087;NSW;Australia;11
2 Hoffman Way;2212;NSW;Australia;9
786 Rowland Court;2035;NSW;Australia;11
375 Drewry Alley;4120;QLD;Australia;9
608 Basil Alley;2306;NSW;Australia;4
9 Schmedeman Hill;4075;QLD;Australia;7
95022 Roth Terrace;3975;Victoria;Australia;7
66897 Pawling Circle;2066;NSW;Australia;9
1 Thackeray Crossing;4114;QLD;Australia;3
363 Schiller Court;2763;NSW;Australia;7
1923 Fisk Lane;4341;QLD;Australia;3
4 Loeprich Avenue;4022;QLD;Australia;3
575 Prentice Road;2168;NSW;Australia;8
8 Melrose Road;4116;QLD;Australia;7
226 Rowland Street;4178;QLD;Australia;7
6 Springs Junction;4123;QLD;Australia;5
4744 Garrison Drive;4132;QLD;Australia;4
64 Nelson Drive;4820;QLD;Australia;1
87 Linden Park;2153;NSW;Australia;10
329 Glacier Hill Alley;3076;Victoria;Australia;8
725 Cordelia Junction;3028;Victoria;Australia;8
32 Cody Place;4035;QLD;Australia;8
04 Namekagon Pass;2326;NSW;Australia;3
165 Petterle Place;2145;NSW;Australia;8
8 Golf Drive;2747;NSW;Australia;9
9427 Tennyson Plaza;2759;NSW;Australia;8
8300 Vermont Center;3429;Victoria;Australia;6
44 Upham Crossing;2148;NSW;Australia;7
18 Forest Avenue;2204;NSW;Australia;9
049 Michigan Parkway;3337;Victoria;Australia;6
831 Hayes Park;4218;QLD;Australia;8
491 Merry Crossing;3011;Victoria;Australia;4
598 Randy Way;2380;NSW;Australia;1
5873 Hagan Park;3015;Victoria;Australia;10
3 Erie Hill;3564;Victoria;Australia;2
678 Old Gate Pass;3171;Victoria;Australia;9
9 Mayfield Road;4551;QLD;Australia;7
41759 Crowley Circle;2560;NSW;Australia;8
9892 Dennis Alley;2565;NSW;Australia;7
58729 Moland Trail;2035;NSW;Australia;12
36360 Coleman Trail;3850;Victoria;Australia;3
67 Aberg Hill;2519;NSW;Australia;4
88 La Follette Way;2166;NSW;Australia;8
2884 Welch Lane;3807;Victoria;Australia;8
60 Meadow Vale Hill;3032;Victoria;Australia;5
9912 Eagle Crest Lane;4800;QLD;Australia;7
355 Thackeray Circle;3025;Victoria;Australia;9
56 Anniversary Avenue;2121;NSW;Australia;12
14 Autumn Leaf Avenue;2570;NSW;Australia;10
30274 Graedel Way;2577;NSW;Australia;7
74013 Mesta Terrace;3084;Victoria;Australia;9
15 Lindbergh Center;2199;NSW;Australia;9
3 Corscot Hill;4870;QLD;Australia;5
77006 Nelson Point;4171;QLD;Australia;10
25 Mesta Plaza;3975;Victoria;Australia;8
1349 Namekagon Crossing;2134;NSW;Australia;12
186 Shasta Avenue;2066;NSW;Australia;9
48 Warbler Road;4053;QLD;Australia;7
756 Farragut Place;4740;QLD;Australia;2
197 Mifflin Hill;2260;NSW;Australia;10
618 Independence Pass;2800;NSW;Australia;1
2836 Morning Drive;2304;NSW;Australia;7
8 Lawn Hill;3752;Victoria;Australia;7
99 Cascade Crossing;2048;NSW;Australia;12
4 Sunfield Circle;2194;NSW;Australia;8
5 Lyons Alley;2216;NSW;Australia;10
96910 Sugar Point;4352;QLD;Australia;7
558 Maple Court;2557;NSW;Australia;9
9114 Union Center;2209;NSW;Australia;7
76 Hanson Junction;2147;NSW;Australia;9
3 Sheridan Park;2548;NSW;Australia;8
40545 Forster Point;2262;NSW;Australia;7
8425 Jackson Terrace;2763;NSW;Australia;9
39035 Westerfield Plaza;2463;NSW;Australia;4
8234 Riverside Park;2481;NSW;Australia;9
4535 Daystar Parkway;2072;NSW;Australia;12
95 Fallview Avenue;3155;Victoria;Australia;8
75826 Bellgrove Trail;3095;Victoria;Australia;10
64080 Susan Park;4207;QLD;Australia;7
8179 Veith Pass;2577;NSW;Australia;7
5 Maple Parkway;2160;NSW;Australia;9
0 Carey Drive;4110;QLD;Australia;4
1 Moose Avenue;2017;NSW;Australia;8
02 Bartelt Center;2745;NSW;Australia;8
0650 Sachs Circle;2769;NSW;Australia;10
16420 Veith Crossing;4214;QLD;Australia;7
81310 Charing Cross Plaza;3805;Victoria;Australia;7
37430 Merrick Center;2770;NSW;Australia;6
6046 Sheridan Way;2322;NSW;Australia;3
537 Packers Street;4562;QLD;Australia;5
6 Briar Crest Court;2117;NSW;Australia;12
4 Lillian Plaza;2283;NSW;Australia;6
70836 Colorado Plaza;2571;NSW;Australia;11
15 Emmet Street;2233;NSW;Australia;10
8 Dottie Court;3480;Victoria;Australia;1
520 Stephen Pass;3011;Victoria;Australia;9
18939 Upham Hill;3551;Victoria;Australia;3
4222 Porter Lane;3136;Victoria;Australia;9
1721 Nobel Junction;2753;NSW;Australia;8
30550 Pierstorff Lane;3093;Victoria;Australia;7
6 Morning Drive;2232;NSW;Australia;9
646 Mariners Cove Place;3023;Victoria;Australia;6
51 Londonderry Trail;2153;NSW;Australia;10
4086 Darwin Terrace;2176;NSW;Australia;9
4033 Hermina Road;2304;NSW;Australia;7
37 Banding Avenue;2567;NSW;Australia;9
8080 Victoria Plaza;4217;QLD;Australia;11
14254 Hallows Parkway;4615;QLD;Australia;1
78 Glacier Hill Drive;2026;NSW;Australia;10
6 Fulton Road;3174;Victoria;Australia;8
76 Londonderry Park;2777;NSW;Australia;9
68861 School Hill;2199;NSW;Australia;9
09 Bartelt Lane;2190;NSW;Australia;8
29639 Porter Center;4221;QLD;Australia;8
5811 Moulton Drive;2766;NSW;Australia;8
80027 Ryan Terrace;3551;Victoria;Australia;3
8 Kingsford Hill;3429;Victoria;Australia;6
8044 Emmet Hill;3150;Victoria;Australia;9
2249 Havey Hill;3183;Victoria;Australia;10
1855 Stang Terrace;2145;NSW;Australia;9
2 Riverside Trail;2154;NSW;Australia;11
98 Esker Junction;2192;NSW;Australia;10
9984 Pankratz Road;2145;NSW;Australia;10
324 Mifflin Road;2290;NSW;Australia;7
2726 Cardinal Way;3073;Victoria;Australia;5
3 Talisman Place;4811;QLD;Australia;2
282 West Trail;4005;QLD;Australia;5
08260 Jay Court;3191;Victoria;Australia;11
12 6th Hill;4810;QLD;Australia;2
0297 Merchant Avenue;4121;QLD;Australia;9
1 Monica Street;2100;NSW;Australia;9
0272 Pankratz Hill;2031;NSW;Australia;10
2 North Crossing;3111;Victoria;Australia;11
345 Dovetail Avenue;4305;QLD;Australia;5
2826 Huxley Center;3137;Victoria;Australia;8
61043 Summer Ridge Junction;2229;NSW;Australia;11
56045 Express Avenue;2176;NSW;Australia;9
760 Forest Dale Place;3068;Victoria;Australia;12
99 Wayridge Place;2263;NSW;Australia;8
5 Dahle Trail;2117;NSW;Australia;10
62215 Delaware Plaza;4118;QLD;Australia;3
37 Dorton Street;2594;NSW;Australia;3
00 Evergreen Center;3850;VIC;Australia;4
80 Maple Avenue;2536;NSW;Australia;4
43 Jana Way;3750;VIC;Australia;7
195 Knutson Place;4019;QLD;Australia;8
9 Melby Park;2197;NSW;Australia;10
4 Vahlen Junction;2227;NSW;Australia;10
6330 Monica Way;2540;NSW;Australia;9
7101 Gulseth Hill;2293;NSW;Australia;9
983 2nd Road;2560;NSW;Australia;8
08 Vidon Center;2143;NSW;Australia;5
36 Helena Drive;4305;QLD;Australia;1
20554 Orin Place;3630;VIC;Australia;1
3903 Messerschmidt Park;2164;NSW;Australia;8
64 Muir Lane;2148;NSW;Australia;8
06495 Swallow Terrace;2759;NSW;Australia;9
033 Loftsgordon Center;2150;NSW;Australia;8
80 Scofield Alley;3121;VIC;Australia;10
64 Milwaukee Pass;4350;QLD;Australia;4
50851 Vahlen Avenue;2567;NSW;Australia;7
88 Bay Drive;4305;QLD;Australia;3
0 Thompson Road;3183;VIC;Australia;8
99 Elka Street;4350;QLD;Australia;4
2699 Crest Line Way;4869;QLD;Australia;4
6 Melody Trail;2145;NSW;Australia;9
90 New Castle Trail;2137;NSW;Australia;9
2570 Wayridge Park;2093;NSW;Australia;9
70 Old Gate Street;2354;NSW;Australia;3
3 Magdeline Terrace;2190;NSW;Australia;10
36744 Birchwood Center;4019;QLD;Australia;3
68 Chinook Street;4814;QLD;Australia;2
0 Valley Edge Plaza;3201;VIC;Australia;6
8 Starling Trail;2282;NSW;Australia;8
3 Crest Line Plaza;2223;NSW;Australia;10
0601 Stephen Place;2292;NSW;Australia;7
00 Mockingbird Junction;2141;NSW;Australia;9
37817 Burning Wood Circle;2126;NSW;Australia;11
02353 Kropf Lane;3046;VIC;Australia;9
79 Arkansas Drive;3008;VIC;Australia;10
4085 Jackson Hill;2830;NSW;Australia;7
57 Gulseth Terrace;2099;NSW;Australia;10
52737 Morningstar Crossing;2250;NSW;Australia;3
866 Rockefeller Junction;2171;NSW;Australia;9
414 Kensington Lane;3076;VIC;Australia;8
81 Holy Cross Alley;2077;NSW;Australia;8
1 Loomis Parkway;3156;VIC;Australia;9
572 Brown Circle;2756;NSW;Australia;8
92344 Oakridge Drive;4873;QLD;Australia;4
1626 Dawn Street;4514;QLD;Australia;3
845 Talisman Pass;4210;QLD;Australia;7
1899 Manley Court;4551;QLD;Australia;7
15067 Commercial Pass;4006;QLD;Australia;7
80932 5th Street;2754;NSW;Australia;8
018 Erie Point;2767;NSW;Australia;9
40402 Moulton Park;2282;NSW;Australia;8
246 Norway Maple Trail;3810;VIC;Australia;2
2 Autumn Leaf Plaza;2137;NSW;Australia;8
808 Starling Place;2173;NSW;Australia;9
5409 Mandrake Circle;2152;NSW;Australia;10
786 Bonner Drive;2340;NSW;Australia;4
7175 Orin Junction;2088;NSW;Australia;12
8208 Lotheville Street;3805;VIC;Australia;8
25689 Eastlawn Crossing;2067;NSW;Australia;11
44 Lakewood Gardens Pass;2122;NSW;Australia;10
87 Twin Pines Plaza;3976;VIC;Australia;5
65 Sachtjen Park;2067;NSW;Australia;11
84 Loomis Pass;2000;NSW;Australia;12
58047 Westport Road;2040;NSW;Australia;12
59000 American Center;2530;NSW;Australia;8
659 Scofield Street;3175;VIC;Australia;5
388 Weeping Birch Plaza;2156;NSW;Australia;11
09413 Holmberg Terrace;4127;QLD;Australia;3
8640 Village Junction;2066;NSW;Australia;12
177 Sheridan Trail;2759;NSW;Australia;8
1 Oriole Alley;4171;QLD;Australia;11
8925 Ryan Trail;2073;NSW;Australia;11
77 Nova Junction;3218;VIC;Australia;8
43 Esker Pass;2228;NSW;Australia;8
205 Melody Circle;4207;QLD;Australia;4
44997 Anniversary Way;4114;QLD;Australia;3
4444 Bunting Point;2430;NSW;Australia;7
3 Washington Plaza;3199;VIC;Australia;7
285 Aberg Point;2192;NSW;Australia;10
4 Sachtjen Avenue;4210;QLD;Australia;10
055 Dakota Pass;2290;NSW;Australia;8
6 Green Ridge Circle;4350;QLD;Australia;3
6841 Dawn Drive;2880;NSW;Australia;1
74251 Golden Leaf Lane;4413;QLD;Australia;3
2 Dwight Street;3187;VIC;Australia;11
511 Gulseth Plaza;3028;VIC;Australia;6
71801 Grover Point;2166;NSW;Australia;10
69 Hovde Plaza;2680;NSW;Australia;5
3387 Warrior Court;2527;NSW;Australia;7
7837 Derek Street;2147;NSW;Australia;9
00 Algoma Crossing;2141;NSW;Australia;7
341 Londonderry Point;4215;QLD;Australia;7
2661 Di Loreto Point;4701;QLD;Australia;7
036 Kedzie Terrace;2163;NSW;Australia;9
615 Spenser Drive;4220;QLD;Australia;10
641 Waywood Lane;2336;NSW;Australia;7
49 Buhler Plaza;2650;NSW;Australia;2
56 Graceland Alley;3031;VIC;Australia;7
3 Magdeline Way;4415;QLD;Australia;2
94 Anhalt Way;3139;VIC;Australia;7
18 Parkside Plaza;4122;QLD;Australia;4
681 Transport Pass;4055;QLD;Australia;7
6 Harper Lane;2150;NSW;Australia;10
59041 Independence Point;4020;QLD;Australia;9
55 Hovde Parkway;3975;VIC;Australia;8
36903 Reinke Trail;3147;VIC;Australia;10
938 Nova Junction;3623;VIC;Australia;1
48 Bobwhite Crossing;4122;QLD;Australia;8
7391 Ruskin Parkway;4356;QLD;Australia;5
677 Butternut Crossing;2216;NSW;Australia;7
8360 Washington Avenue;3124;VIC;Australia;12
519 Maywood Pass;2768;NSW;Australia;10
6712 Nova Crossing;2065;NSW;Australia;10
383 Rockefeller Junction;2753;NSW;Australia;9
71039 Packers Street;2034;NSW;Australia;10
5 Hauk Lane;2650;NSW;Australia;3
02377 Maywood Trail;2287;NSW;Australia;7
2 School Street;2010;NSW;Australia;10
9254 Straubel Street;3034;VIC;Australia;9
3 Glacier Hill Parkway;2196;NSW;Australia;10
029 Springview Place;2177;NSW;Australia;8
1 Springview Place;4800;QLD;Australia;5
60 Meadow Valley Avenue;2219;NSW;Australia;10
42 Thompson Hill;2234;NSW;Australia;10
2 Pankratz Street;4812;QLD;Australia;5
65345 Marcy Crossing;2065;NSW;Australia;12
77 Pawling Pass;2537;NSW;Australia;3
06419 Dayton Junction;3191;VIC;Australia;10
5 Hauk Way;4870;QLD;Australia;8
923 Westerfield Junction;2065;NSW;Australia;10
707 Spaight Place;2830;NSW;Australia;4
89 Monument Place;4720;QLD;Australia;1
583 Coleman Parkway;4213;QLD;Australia;9
376 Buena Vista Street;2026;NSW;Australia;11
91457 Anderson Avenue;3124;VIC;Australia;12
39 Ronald Regan Alley;3765;VIC;Australia;8
1 5th Parkway;2148;NSW;Australia;8
7 Meadow Ridge Center;2165;NSW;Australia;9
41821 Sheridan Center;2756;NSW;Australia;9
7 Reindahl Center;2767;NSW;Australia;8
6382 Bayside Street;2153;NSW;Australia;10
850 Manitowish Avenue;2148;NSW;Australia;8
88 Comanche Point;2486;NSW;Australia;7
13845 Hayes Center;3228;VIC;Australia;8
88022 South Road;4511;QLD;Australia;5
9 Northridge Lane;2340;NSW;Australia;3
95530 Hallows Circle;4110;QLD;Australia;5
97 Karstens Place;4226;QLD;Australia;7
237 Summit Pass;4506;QLD;Australia;3
1 Cottonwood Street;3150;VIC;Australia;9
8642 Forest Run Avenue;2026;NSW;Australia;9
352 Bonner Crossing;3084;VIC;Australia;8
52726 High Crossing Junction;3802;VIC;Australia;7
60086 Summit Lane;2116;NSW;Australia;10
5 Farmco Way;2747;NSW;Australia;8
33 Kropf Hill;2211;NSW;Australia;10
2 Derek Pass;2222;NSW;Australia;7
87140 Mandrake Lane;3124;VIC;Australia;8
69278 High Crossing Place;2795;NSW;Australia;5
42 Cordelia Park;2567;NSW;Australia;8
50 2nd Center;3188;VIC;Australia;9
8 Colorado Circle;3730;VIC;Australia;4
55 Daystar Court;2234;NSW;Australia;10
21 Dwight Crossing;2062;NSW;Australia;10
3828 Norway Maple Avenue;2027;NSW;Australia;11
3044 Summer Ridge Center;3060;VIC;Australia;8
43455 Carey Center;4131;QLD;Australia;4
57953 Drewry Street;2518;NSW;Australia;10
3 Luster Junction;2323;NSW;Australia;4
9987 Stuart Alley;2766;NSW;Australia;8
2309 Gulseth Way;3199;VIC;Australia;8
730 Dixon Place;3158;VIC;Australia;8
10421 Cordelia Parkway;3188;VIC;Australia;12
35454 Welch Hill;2477;NSW;Australia;6
3403 Spenser Terrace;3143;VIC;Australia;8
06 Oneill Parkway;2770;NSW;Australia;7
243 Ridge Oak Center;2195;NSW;Australia;9
4 Eastlawn Crossing;2036;NSW;Australia;12
33 Farwell Crossing;2575;NSW;Australia;10
5 Reindahl Point;3400;VIC;Australia;2
8882 Valley Edge Junction;2145;NSW;Australia;8
633 Cordelia Alley;3037;VIC;Australia;7
32 Dennis Hill;2233;NSW;Australia;9
54905 Anniversary Pass;4570;QLD;Australia;2
5 Gale Street;4507;QLD;Australia;8
5413 Burning Wood Plaza;4220;QLD;Australia;8
6183 Morrow Court;2113;NSW;Australia;11
9 Colorado Trail;3799;VIC;Australia;3
627 Ronald Regan Alley;4505;QLD;Australia;6
93446 Eagle Crest Plaza;2229;NSW;Australia;10
9 Clyde Gallagher Plaza;3021;VIC;Australia;7
56709 Petterle Street;2443;NSW;Australia;6
221 Coolidge Parkway;2010;NSW;Australia;9
33564 Jana Court;4218;QLD;Australia;5
7 Starling Crossing;2570;NSW;Australia;9
283 Ryan Street;3752;VIC;Australia;7
97 Aberg Pass;4720;QLD;Australia;1
0 Menomonie Avenue;3177;VIC;Australia;6
20 Carpenter Parkway;2192;NSW;Australia;9
14796 Ramsey Street;2069;NSW;Australia;12
1346 Forest Dale Point;3111;VIC;Australia;10
217 Meadow Vale Point;2023;NSW;Australia;12
341 Saint Paul Lane;2033;NSW;Australia;9
7823 Village Green Park;3030;VIC;Australia;8
382 Dayton Lane;2148;NSW;Australia;8
4 Kennedy Trail;3147;VIC;Australia;8
4364 Gale Park;2196;NSW;Australia;10
2379 Dorton Pass;2089;NSW;Australia;12
5 Hintze Hill;2641;NSW;Australia;1
58 High Crossing Place;4212;QLD;Australia;10
1 Ridgeway Court;3241;VIC;Australia;5
00 Park Meadow Terrace;2450;NSW;Australia;6
29419 Harper Circle;4209;QLD;Australia;5
1601 Judy Drive;2026;NSW;Australia;10
7628 Larry Trail;3428;VIC;Australia;7
004 Lawn Trail;4227;QLD;Australia;5
42 Dahle Parkway;3806;VIC;Australia;7
1472 Meadow Vale Lane;4034;QLD;Australia;7
95 Old Gate Junction;2760;NSW;Australia;8
55 Fairfield Court;3175;VIC;Australia;8
92 Bunker Hill Trail;2558;NSW;Australia;7
1 Boyd Junction;2460;NSW;Australia;1
938 Monica Park;3173;VIC;Australia;9
26204 Monument Alley;2289;NSW;Australia;8
36 Grayhawk Plaza;2031;NSW;Australia;9
8276 Hudson Trail;2250;NSW;Australia;6
3638 Starling Alley;2027;NSW;Australia;11
7380 Canary Pass;3111;VIC;Australia;7
9 Debs Trail;4500;QLD;Australia;4
82 Shasta Drive;4825;QLD;Australia;3
9 Goodland Center;4213;QLD;Australia;9
4 Amoth Trail;4161;QLD;Australia;6
730 Butternut Trail;4018;QLD;Australia;4
21780 Service Park;2560;NSW;Australia;7
00745 Huxley Center;3757;VIC;Australia;9
45 Hazelcrest Junction;3073;VIC;Australia;9
84019 Porter Trail;2871;NSW;Australia;3
64211 Laurel Alley;3141;VIC;Australia;10
31369 Meadow Valley Road;4034;QLD;Australia;5
8298 Texas Alley;2194;NSW;Australia;10
1 Continental Center;2146;NSW;Australia;9
0465 Melrose Alley;2768;NSW;Australia;9
5357 Mcguire Plaza;3073;VIC;Australia;9
4757 Texas Trail;3136;VIC;Australia;9
27 Sunfield Center;4869;QLD;Australia;3
656 Bartelt Parkway;3127;VIC;Australia;12
610 Lakewood Gardens Point;4078;QLD;Australia;7
61 Lukken Plaza;3182;VIC;Australia;6
67 Holmberg Way;2165;NSW;Australia;9
3383 Fair Oaks Circle;3046;VIC;Australia;8
2 Vermont Avenue;2066;NSW;Australia;12
486 Atwood Pass;2065;NSW;Australia;12
05 Loftsgordon Pass;4380;QLD;Australia;9
570 Butternut Pass;2340;NSW;Australia;4
63 Grayhawk Pass;2769;NSW;Australia;9
44594 5th Street;4220;QLD;Australia;9
495 Elmside Drive;2179;NSW;Australia;8
9 Macpherson Avenue;2527;NSW;Australia;8
738 Division Street;3024;VIC;Australia;8
5 Sheridan Circle;3934;VIC;Australia;11
42 Lunder Drive;2027;NSW;Australia;11
3 Hayes Court;3109;VIC;Australia;10
711 Sachtjen Point;2540;NSW;Australia;8
16395 Nevada Lane;2145;NSW;Australia;10
0996 Cody Terrace;2761;NSW;Australia;8
80424 Corben Alley;2136;NSW;Australia;10
37208 Golf View Terrace;2145;NSW;Australia;8
1128 Golden Leaf Center;3124;VIC;Australia;9
4885 Stone Corner Alley;3046;VIC;Australia;8
66 Hudson Crossing;2153;NSW;Australia;10
5287 Wayridge Alley;2069;NSW;Australia;12
15393 Cody Lane;2046;NSW;Australia;9
1 Mcbride Center;2484;NSW;Australia;6
4870 Shelley Alley;3225;VIC;Australia;7
65634 Del Mar Crossing;4053;QLD;Australia;7
8572 Melvin Drive;3145;VIC;Australia;11
5549 Bay Point;4068;QLD;Australia;9
9 Forest Circle;2324;NSW;Australia;3
6 Kedzie Hill;2214;NSW;Australia;9
60601 Hoffman Court;2041;NSW;Australia;12
1715 Scoville Drive;2031;NSW;Australia;11
85 Laurel Trail;3809;VIC;Australia;6
3082 Almo Center;2454;NSW;Australia;4
27135 Melvin Plaza;4556;QLD;Australia;8
40 Kinsman Pass;2065;NSW;Australia;10
094 Green Road;2216;NSW;Australia;11
91 Spohn Plaza;4573;QLD;Australia;7
5 Jana Drive;4570;QLD;Australia;1
201 Pepper Wood Avenue;2154;NSW;Australia;11
4408 Haas Way;2171;NSW;Australia;9
6 Pawling Trail;2871;NSW;Australia;7
31111 Hoepker Road;3034;VIC;Australia;9
79 Lighthouse Bay Lane;3082;VIC;Australia;8
2354 Forster Road;2131;NSW;Australia;11
5271 Vernon Court;3207;VIC;Australia;10
06 Declaration Hill;3184;VIC;Australia;11
07716 5th Alley;2250;NSW;Australia;5
10 Pennsylvania Hill;2118;NSW;Australia;11
2330 Huxley Crossing;2570;NSW;Australia;10
5811 Hanson Lane;2260;NSW;Australia;7
7 Main Crossing;2065;NSW;Australia;12
682 Spenser Plaza;3977;VIC;Australia;6
1149 Riverside Parkway;2016;NSW;Australia;11
1176 Pine View Lane;2112;NSW;Australia;11
22 Sachtjen Avenue;2137;NSW;Australia;12
6 Pankratz Crossing;2228;NSW;Australia;11
6988 Acker Crossing;2217;NSW;Australia;10
9993 Mccormick Street;2223;NSW;Australia;8
7 Holmberg Circle;2018;NSW;Australia;9
7 Village Green Circle;3109;VIC;Australia;10
4044 Tennessee Parkway;2315;NSW;Australia;9
4297 Emmet Lane;2170;NSW;Australia;8
6 Sycamore Drive;4053;QLD;Australia;7
6 Barby Road;4300;QLD;Australia;4
37495 Summerview Park;2619;NSW;Australia;7
3 Center Crossing;2452;NSW;Australia;3
19386 Burrows Way;2229;NSW;Australia;10
4 Quincy Trail;2800;NSW;Australia;3
69881 Westport Parkway;2880;NSW;Australia;1
44 Ramsey Road;2515;NSW;Australia;9
12764 Raven Plaza;4020;QLD;Australia;7
356 Petterle Way;2193;NSW;Australia;9
2827 Fallview Lane;2064;NSW;Australia;9
7 Del Sol Road;4220;QLD;Australia;9
05415 Basil Junction;2450;NSW;Australia;8
09 Warbler Court;4152;QLD;Australia;9
847 David Hill;4035;QLD;Australia;8
24596 Hoepker Avenue;2322;NSW;Australia;4
75 Mesta Hill;4509;QLD;Australia;7
7258 Mandrake Terrace;3138;VIC;Australia;9
84741 Scoville Terrace;3029;VIC;Australia;5
04328 Rowland Plaza;3441;VIC;Australia;9
332 Maywood Crossing;3136;VIC;Australia;9
6026 Graceland Crossing;2121;NSW;Australia;11
0 Fremont Court;3023;VIC;Australia;7
5515 Artisan Center;3337;VIC;Australia;3
0 Nevada Pass;2216;NSW;Australia;10
06 Heffernan Junction;4074;QLD;Australia;7
04 Onsgard Center;2101;NSW;Australia;9
37 Division Way;2153;NSW;Australia;9
9623 Fisk Plaza;2164;NSW;Australia;8
9419 Homewood Way;2160;NSW;Australia;9
26349 Spaight Junction;2756;NSW;Australia;8
1063 Forest Avenue;4510;QLD;Australia;3
548 Dahle Lane;2075;NSW;Australia;11
4 Barby Road;2647;NSW;Australia;3
258 Luster Court;2154;NSW;Australia;10
22669 Lien Center;2565;NSW;Australia;6
9 Autumn Leaf Court;2731;NSW;Australia;4
9 Superior Plaza;3185;VIC;Australia;11
86603 Dexter Road;2164;NSW;Australia;9
8 Ridgeview Park;2323;NSW;Australia;5
4754 Ramsey Junction;3130;VIC;Australia;9
9 Dayton Alley;3757;VIC;Australia;7
08 Carey Center;3284;VIC;Australia;6
915 Thackeray Junction;2204;NSW;Australia;11
515 3rd Road;2037;NSW;Australia;12
184 Roth Pass;4211;QLD;Australia;7
84 Porter Alley;2153;NSW;Australia;10
79494 Ruskin Circle;2527;NSW;Australia;9
98 Schiller Junction;2747;NSW;Australia;9
20519 Katie Circle;2152;NSW;Australia;8
2273 Oneill Place;2118;NSW;Australia;11
03 6th Alley;2168;NSW;Australia;9
8548 Hanover Park;2067;NSW;Australia;11
4079 Lindbergh Center;3021;VIC;Australia;8
338 Grasskamp Lane;2573;NSW;Australia;7
0355 3rd Drive;2118;NSW;Australia;11
0182 Esker Center;2759;NSW;Australia;9
48 Sheridan Road;3185;VIC;Australia;11
1879 Mitchell Center;2206;NSW;Australia;10
81114 7th Place;4869;QLD;Australia;4
1 Nevada Park;4226;QLD;Australia;8
6 Buell Point;2062;NSW;Australia;12
4284 Debra Drive;4814;QLD;Australia;3
8 Hansons Street;3076;VIC;Australia;7
7674 Roxbury Junction;4815;QLD;Australia;4
771 Sugar Way;2076;NSW;Australia;11
1792 Judy Road;2539;NSW;Australia;6
92 Melvin Hill;2147;NSW;Australia;9
592 Merry Lane;3184;VIC;Australia;3
6 Dapin Park;4503;QLD;Australia;6
03 Holmberg Park;4127;QLD;Australia;2
8587 Graceland Way;2206;NSW;Australia;10
91 Messerschmidt Trail;3162;VIC;Australia;11
5998 Bayside Terrace;2526;NSW;Australia;9
107 Moland Court;2579;NSW;Australia;5
4439 7th Terrace;2177;NSW;Australia;9
2272 Dennis Alley;3165;VIC;Australia;10
0 Scofield Plaza;3201;VIC;Australia;4
51152 Brickson Park Crossing;2768;NSW;Australia;9
4668 Coleman Street;2160;NSW;Australia;5
8 Moland Junction;2148;NSW;Australia;7
1 Raven Junction;4502;QLD;Australia;4
40570 Acker Alley;2166;NSW;Australia;9
893 Petterle Trail;4551;QLD;Australia;10
84 Monument Terrace;4127;QLD;Australia;4
0103 Bay Junction;2222;NSW;Australia;11
9618 Havey Place;2710;NSW;Australia;1
098 Veith Hill;4510;QLD;Australia;3
03058 Shoshone Lane;2090;NSW;Australia;12
7975 Browning Plaza;3038;VIC;Australia;4
154 Cambridge Point;3551;VIC;Australia;8
3 Sachs Point;2250;NSW;Australia;7
0386 Mayfield Way;4122;QLD;Australia;7
24 Merchant Plaza;3031;VIC;Australia;10
353 Oneill Park;3145;VIC;Australia;9
92867 Lukken Lane;3142;VIC;Australia;9
11 Corscot Plaza;2710;NSW;Australia;1
13 Buhler Plaza;2576;NSW;Australia;8
72673 Mayfield Trail;4209;QLD;Australia;6
42739 Moose Pass;3442;VIC;Australia;8
3 Atwood Lane;2153;NSW;Australia;10
378 Prentice Point;4064;QLD;Australia;9
95 Forest Run Drive;4152;QLD;Australia;8
20 Main Road;2230;NSW;Australia;9
71 Cherokee Hill;2127;NSW;Australia;7
698 Summer Ridge Way;2529;NSW;Australia;7
79 Grasskamp Center;2170;NSW;Australia;9
6541 Dahle Junction;2212;NSW;Australia;9
858 Swallow Parkway;2150;NSW;Australia;8
0005 Independence Drive;2118;NSW;Australia;9
525 Kedzie Street;4012;QLD;Australia;8
03890 Logan Court;2747;NSW;Australia;8
8 Clyde Gallagher Court;4217;QLD;Australia;8
62 Elka Terrace;2430;NSW;Australia;3
